Image_file_name,sharpness_raw,sharpness_score,contrast_raw,contrast_score,brightness_raw,brightness_score,clipping_percentage,clipping_score,noise_raw,noise_score,fundus_coverage,coverage_score,final_score
1_OD_1.tif,4.62,0.0,37.78,35.05,54.3,45.25,27.31,0.0,0.44,98.52,72.47,60.67,32.75
1_OD_1_green.tif,7.94,0.0,34.84,30.53,48.15,40.13,27.33,0.0,0.62,97.92,72.45,60.65,31.01
1_OD_2_green.tif,8.55,0.0,43.98,44.59,69.41,57.84,27.27,0.0,0.63,97.89,72.46,60.66,36.48
1_OS_1.tif,5.73,0.0,46.93,49.12,74.9,62.42,27.14,0.0,0.49,98.38,72.63,60.89,38.16
1_OS_1_green.tif,9.18,0.0,41.58,40.9,66.22,55.18,27.17,0.0,0.66,97.8,72.59,60.84,35.36
1_OS_2.tif,4.84,0.0,40.87,39.79,63.72,53.1,27.17,0.0,0.45,98.5,72.57,60.82,34.9
1_OS_2_green.tif,8.07,0.0,37.57,34.72,57.97,48.31,27.2,0.0,0.62,97.92,72.54,60.77,33.1
2_OD_1.tif,5.19,0.0,45.75,47.31,72.05,60.04,27.43,0.0,0.47,98.45,72.33,60.48,37.39
2_OD_1_green.tif,8.65,0.0,38.32,35.88,60.43,50.36,27.45,0.0,0.64,97.85,72.33,60.47,33.58
2_OD_2.tif,6.29,0.0,53.97,59.96,85.62,71.35,27.34,0.0,0.51,98.31,72.43,60.61,41.62
2_OD_2_green.tif,9.42,0.0,48.31,51.24,76.7,63.92,27.36,0.0,0.66,97.8,72.42,60.59,38.7
2_OS_1.tif,5.28,0.0,46.08,47.82,73.24,61.03,27.31,0.0,0.47,98.44,72.44,60.63,37.66
2_OS_1_green.tif,8.76,0.0,38.98,36.9,61.99,51.66,27.32,0.0,0.65,97.84,72.43,60.62,34.0
2_OS_2.tif,6.23,0.0,53.52,59.27,85.53,71.28,27.25,0.0,0.5,98.32,72.51,60.72,41.49
2_OS_2_green.tif,9.28,0.0,47.75,50.38,76.27,63.55,27.27,0.0,0.65,97.82,72.48,60.69,38.49
