filename,final_quality_score,image_type,decision,score_difference,intrinsic_quality_score,intrinsic_improvement,detail_preservation_score,detail_loss_ratio,ssim_score,structural_change_ratio,gradient_structure_score,gradient_loss_ratio,unsupported_detail_ratio,unsupported_detail_score,color_change,sharpness,contrast,brightness,noise,clipping,dynamic_range
1_OD_1.tif,19.63,ESRGAN,RED_FLAG,-36.71,56.19,-0.15,28.85,0.7792,98.52,0.001,26.83,0.8218,0.0514,74.3,2.6984,1.8136,21.4804,75.3715,0.3433,0.000236,77.0
1_OD_1_green.tif,22.63,ESRGAN,RED_FLAG,-33.67,55.76,-0.54,32.36,0.7467,96.93,0.0062,31.8,0.7909,0.038,81.01,2.389,2.2123,22.7682,67.6907,0.4787,0.004473,82.0
1_OD_2_green.tif,26.82,ESRGAN,RED_FLAG,-28.96,55.66,-0.12,41.13,0.6946,97.2,0.0048,34.36,0.7313,0.0308,84.58,2.3989,2.343,15.1961,97.1642,0.5008,0.003201,48.0
1_OS_1.tif,27.09,ESRGAN,RED_FLAG,-28.73,56.49,0.67,42.91,0.6146,97.06,0.0121,27.74,0.6974,0.0256,87.21,2.7386,2.4519,13.9859,102.9937,0.5205,0.000222,45.0
1_OS_1_green.tif,38.3,ESRGAN,RED_FLAG,-16.14,55.38,0.94,62.69,0.5183,96.4,0.0105,48.75,0.6032,0.0241,87.94,2.592,3.7133,13.5679,92.4772,0.8365,0.004464,42.0
1_OS_2.tif,14.67,ESRGAN,RED_FLAG,-39.78,54.32,-0.13,25.57,0.8041,98.33,0.0013,20.8,0.8473,0.0571,71.45,2.7592,1.7303,15.9076,88.2942,0.328,0.000237,49.0
1_OS_2_green.tif,19.6,ESRGAN,RED_FLAG,-34.74,54.31,-0.04,32.36,0.7708,96.65,0.0113,27.12,0.8293,0.0441,77.95,2.5549,2.38,16.1867,81.3303,0.5041,0.002791,54.0
2_OD_1.tif,20.57,ESRGAN,RED_FLAG,-35.35,55.87,-0.04,31.21,0.7317,97.98,0.0054,24.58,0.7661,0.0382,80.88,2.5774,1.882,15.0031,99.4699,0.3969,0.000227,50.0
2_OD_1_green.tif,25.63,ESRGAN,RED_FLAG,-27.52,53.17,0.02,43.16,0.6872,96.53,0.0127,35.78,0.7255,0.0279,86.03,2.428,2.7006,12.789,84.7902,0.5849,0.002274,38.0
2_OD_2.tif,18.08,ESRGAN,RED_FLAG,-38.85,56.49,-0.45,27.39,0.7883,98.37,0.0013,21.93,0.8227,0.0524,73.8,2.6478,1.7764,16.2122,118.4211,0.3623,0.000234,52.0
2_OD_2_green.tif,24.57,ESRGAN,RED_FLAG,-32.49,56.73,-0.33,36.29,0.7463,97.25,0.0043,29.98,0.7862,0.0377,81.17,2.4375,2.2774,14.7965,107.4123,0.4831,0.002711,45.0
2_OS_1.tif,19.64,ESRGAN,RED_FLAG,-35.49,54.97,-0.16,31.81,0.6958,97.66,0.0057,22.25,0.7445,0.0334,83.32,2.5322,1.8908,13.765,100.7853,0.4005,0.00019,39.0
2_OS_1_green.tif,27.55,ESRGAN,RED_FLAG,-25.49,53.15,0.12,47.43,0.6407,96.61,0.0063,36.88,0.6854,0.0258,87.08,2.4272,2.7235,12.1406,86.9249,0.593,0.002794,37.0
2_OS_2.tif,17.17,ESRGAN,RED_FLAG,-39.03,55.73,-0.47,27.1,0.7743,98.34,0.001,20.76,0.8103,0.0492,75.39,2.6006,1.732,14.8966,118.1919,0.3535,0.000224,47.0
2_OS_2_green.tif,25.66,ESRGAN,RED_FLAG,-30.85,56.22,-0.29,39.21,0.7182,97.23,0.0046,30.92,0.7505,0.0331,83.46,2.5086,2.3101,13.9126,106.721,0.4989,0.00315,43.0
