filename,final_quality_score,image_type,decision,intrinsic_quality_score,sharpness,contrast,brightness,noise,clipping,dynamic_range
1_OD_1.tif,56.34,ORIGINAL,REFERENCE,56.34,1.9185,21.6881,74.5832,0.4612,0.00015,78.0
1_OD_1_green.tif,56.3,ORIGINAL,REFERENCE,56.3,2.4597,22.2756,66.1447,0.6897,0.000164,82.0
1_OD_2_green.tif,55.79,ORIGINAL,REFERENCE,55.79,2.4982,14.5017,95.3977,0.6917,0.00028,48.0
1_OS_1.tif,55.82,ORIGINAL,REFERENCE,55.82,2.0322,13.7761,102.7609,0.5157,0.000143,45.0
1_OS_1_green.tif,54.44,ORIGINAL,REFERENCE,54.44,2.6354,12.5578,90.8742,0.7623,0.000155,43.0
1_OS_2.tif,54.45,ORIGINAL,REFERENCE,54.45,1.8994,15.7308,87.4207,0.4524,0.00014,50.0
1_OS_2_green.tif,54.34,ORIGINAL,REFERENCE,54.34,2.4804,15.584,79.5722,0.6924,0.000134,54.0
2_OD_1.tif,55.92,ORIGINAL,REFERENCE,55.92,2.0045,14.703,99.2387,0.4961,0.000137,50.0
2_OD_1_green.tif,53.15,ORIGINAL,REFERENCE,53.15,2.6099,12.264,83.2007,0.7352,0.000169,41.0
2_OD_2.tif,56.93,ORIGINAL,REFERENCE,56.93,2.0217,16.021,117.796,0.4818,0.000152,53.0
2_OD_2_green.tif,57.06,ORIGINAL,REFERENCE,57.06,2.5317,14.155,105.5364,0.6903,0.000172,47.0
2_OS_1.tif,55.13,ORIGINAL,REFERENCE,55.13,2.0218,13.5604,100.7096,0.5078,0.000126,40.0
2_OS_1_green.tif,53.03,ORIGINAL,REFERENCE,53.03,2.6433,11.5033,85.2345,0.7535,0.000186,38.0
2_OS_2.tif,56.2,ORIGINAL,REFERENCE,56.2,2.0085,14.6001,117.5413,0.4784,0.000142,48.0
2_OS_2_green.tif,56.52,ORIGINAL,REFERENCE,56.52,2.525,13.0824,104.8354,0.6916,0.00016,45.0
