File Name,Original Quality Score,ESRGAN Quality Score,Quality Change (%),Verdict,Quality Statement,Original Sharpness,ESRGAN Sharpness,Original Contrast,ESRGAN Contrast,Original Entropy,ESRGAN Entropy
1_OD_1.tif,100,186.4648,86.4648,IMPROVED,Image quality improved by 86.46%.,4.6177,14.6246,37.7846,38.1184,5.7612,5.6685
1_OD_1_green.tif,100,333.1018,233.1018,IMPROVED,Image quality improved by 233.10%.,7.9375,54.4237,34.8438,36.0296,5.774,5.3544
1_OD_2_green.tif,100,272.8432,172.8432,IMPROVED,Image quality improved by 172.84%.,8.5505,45.7773,43.9841,45.3324,5.386,4.9861
1_OS_1.tif,100,318.0103,218.0103,IMPROVED,Image quality improved by 218.01%.,5.7265,36.9849,46.9258,47.2653,5.1756,5.0807
1_OS_1_green.tif,100,498.967,398.967,IMPROVED,Image quality improved by 398.97%.,9.1782,101.0343,41.5818,42.9672,5.1784,4.7717
1_OS_2.tif,100,182.0498,82.0498,IMPROVED,Image quality improved by 82.05%.,4.8414,14.7918,40.8657,41.4676,5.4872,5.3771
1_OS_2_green.tif,100,451.1237,351.1237,IMPROVED,Image quality improved by 351.12%.,8.0674,79.0966,37.5685,38.927,5.5493,5.1537
2_OD_1.tif,100,167.461,67.461,IMPROVED,Image quality improved by 67.46%.,5.1911,14.0047,45.7528,46.0615,5.2183,5.1045
2_OD_1_green.tif,100,431.996,331.996,IMPROVED,Image quality improved by 332.00%.,8.652,80.7859,38.3189,39.553,5.0319,4.6191
2_OD_2.tif,100,144.3493,44.3493,IMPROVED,Image quality improved by 44.35%.,6.2864,13.3215,53.9714,54.4559,5.3278,5.2063
2_OD_2_green.tif,100,256.985,156.985,IMPROVED,Image quality improved by 156.98%.,9.4216,46.7929,48.3076,49.6779,5.2529,4.8104
2_OS_1.tif,100,184.7603,84.7603,IMPROVED,Image quality improved by 84.76%.,5.2758,16.5335,46.0803,46.2872,4.9719,4.8511
2_OS_1_green.tif,100,318.4077,218.4077,IMPROVED,Image quality improved by 218.41%.,8.7644,56.9883,38.9818,40.249,4.7661,4.3439
2_OS_2.tif,100,142.6597,42.6597,IMPROVED,Image quality improved by 42.66%.,6.2266,12.9228,53.5239,54.0437,5.1248,5.0141
2_OS_2_green.tif,100,261.6276,161.6276,IMPROVED,Image quality improved by 161.63%.,9.2759,47.1688,47.7479,49.1571,5.0493,4.6015
3_OD_1.tif,100,264.1742,164.1742,IMPROVED,Image quality improved by 164.17%.,5.1328,26.2576,46.998,47.1985,5.3258,5.2227
3_OD_1_green.tif,100,503.9379,403.9379,IMPROVED,Image quality improved by 403.94%.,8.3922,93.3924,41.0578,42.3053,5.2846,4.9124
3_OD_2.tif,100,246.7602,146.7602,IMPROVED,Image quality improved by 146.76%.,5.7746,27.0001,49.5479,49.9703,5.6407,5.5422
3_OD_2_green.tif,100,655.7333,555.7333,IMPROVED,Image quality improved by 555.73%.,9.3196,139.0203,44.1707,45.6173,5.6911,5.3252
3_OS_1.tif,100,177.0381,77.0381,IMPROVED,Image quality improved by 77.04%.,5.2863,15.5108,46.6616,46.9507,5.2153,5.126
3_OS_1_green.tif,100,313.2629,213.2629,IMPROVED,Image quality improved by 213.26%.,8.4989,54.1022,40.9474,42.1019,5.1625,4.7812
3_OS_2.tif,100,155.7963,55.7963,IMPROVED,Image quality improved by 55.80%.,5.7116,13.7421,49.5006,49.9233,5.1324,5.0128
3_OS_2_green.tif,100,281.0297,181.0297,IMPROVED,Image quality improved by 181.03%.,8.8183,49.0756,43.743,45.0624,5.1133,4.6902
4_OD_1.tif,100,200.9271,100.9271,IMPROVED,Image quality improved by 100.93%.,4.9166,17.3398,44.7832,45.3328,5.4022,5.3101
4_OD_1_green.tif,100,388.7701,288.7701,IMPROVED,Image quality improved by 288.77%.,8.0856,66.722,40.0419,41.3086,5.4121,5.0052
4_OD_2.tif,100,146.6424,46.6424,IMPROVED,Image quality improved by 46.64%.,4.7066,10.2252,42.8073,43.2079,5.4739,5.3754
4_OD_2_green.tif,100,304.9598,204.9598,IMPROVED,Image quality improved by 204.96%.,7.9634,49.005,37.7439,38.8058,5.4635,5.0928
4_OS_1.tif,100,183.3349,83.3349,IMPROVED,Image quality improved by 83.33%.,3.674,11.3399,31.4491,31.7821,5.5198,5.4383
4_OS_1_green.tif,100,400.2528,300.2528,IMPROVED,Image quality improved by 300.25%.,6.3826,54.4894,26.3188,27.0566,5.3157,4.9479
4_OS_2.tif,100,137.7736,37.7736,IMPROVED,Image quality improved by 37.77%.,5.1768,10.0796,47.3992,48.0234,5.5032,5.4108
4_OS_2_green.tif,100,287.9266,187.9266,IMPROVED,Image quality improved by 187.93%.,8.1236,46.5406,43.5019,44.7558,5.5625,5.1732
5_OD_1.tif,100,235.7898,135.7898,IMPROVED,Image quality improved by 135.79%.,5.2938,23.276,46.5581,47.2117,5.4413,5.3499
5_OD_1_green.tif,100,405.6474,305.6474,IMPROVED,Image quality improved by 305.65%.,8.4113,72.9337,41.2806,42.5575,5.4057,5.0241
5_OD_2.tif,100,171.0502,71.0502,IMPROVED,Image quality improved by 71.05%.,5.7378,15.9436,50.6566,51.5004,4.9929,4.8933
5_OD_2_green.tif,100,380.8977,280.8977,IMPROVED,Image quality improved by 280.90%.,8.5808,69.1467,45.6983,47.0782,5.049,4.6554
5_OS_1.tif,100,197.6397,97.6397,IMPROVED,Image quality improved by 97.64%.,5.8391,20.1023,46.509,47.2538,5.1412,5.0472
5_OS_1_green.tif,100,384.7086,284.7086,IMPROVED,Image quality improved by 284.71%.,9.0675,73.8897,40.6908,41.9413,5.1355,4.7643
5_OS_2.tif,100,179.5386,79.5386,IMPROVED,Image quality improved by 79.54%.,5.4704,16.3577,47.9695,48.7869,5.3096,5.2067
5_OS_2_green.tif,100,426.7296,326.7296,IMPROVED,Image quality improved by 326.73%.,8.4763,77.9806,42.9202,44.256,5.3065,4.9181
