Node,X[m],Y[m],Z[m],predicted_CR
1,-18.0286198,12.6049995,-4.57648659,0.009033078
2,-18.0286198,12.6049995,-4.49365044,0.009033078
3,-17.9647236,12.6049995,-4.49365044,0.009033078
4,-17.9647236,12.6049995,-4.57648659,0.009033078
5,-17.9647236,12.2416391,-8.02706337,0.009033872
6,-17.9647236,12.2416391,-7.96315193,0.009033872
7,-18.0286198,12.2416391,-7.96315193,0.009033872
8,-18.0286198,12.2416391,-8.02706337,0.009033872
9,-17.4535313,12.6049995,-10.0718555,0.009033872
10,-17.4535313,12.6049995,-10.0079441,0.009033872
11,-17.3896351,12.6049995,-10.0079441,0.009033872
12,-17.3896351,12.6049995,-10.0718555,0.009033872
13,-20.1725159,12.2416391,-7.13246346,0.009033872
14,-20.1725159,12.2416391,-7.19637537,0.009033872
15,-20.1373196,12.2539244,-7.19637537,0.009033872
16,-20.1373196,12.2539244,-7.13246346,0.009033872
17,-20.0095158,12.6049995,-8.6021595,0.009033872
18,-20.0095158,12.6049995,-8.53824806,0.009033872
19,-19.9456196,12.6049995,-8.53824806,0.009033872
20,-19.9456196,12.6049995,-8.6021595,0.009033872
21,-17.389719,12.2520218,-9.30507851,0.009033872
22,-17.389719,12.2520218,-9.24116707,0.009033872
23,-17.4537582,12.2639217,-9.24116707,0.009033872
24,-17.4537582,12.2639217,-9.30507851,0.009033872
25,-18.6035748,12.2643738,-8.98557568,0.009033872
26,-18.6035748,12.2643738,-9.04948616,0.009033872
27,-18.5442352,12.271101,-9.04948616,0.009033872
28,-18.5442352,12.271101,-8.98557568,0.009033872
29,-19.0510273,12.2416391,-10.346241,0.009033872
30,-19.0510273,12.3274698,-10.346241,0.009033872
31,-18.9871311,12.3274698,-10.346241,0.009033872
32,-18.9871311,12.2416391,-10.346241,0.009033872
33,-19.6232357,12.5761013,-9.24116707,0.009033872
34,-19.6232357,12.5761013,-9.17725563,0.009033872
35,-19.5562363,12.5761013,-9.17725563,0.009033872
36,-19.5562363,12.5761013,-9.24116707,0.009033872
37,-17.6438637,12.5888662,-9.43284798,0.009033872
38,-17.6438637,12.5888662,-9.36896324,0.009033872
39,-17.6121159,12.5962973,-9.36896324,0.009033872
40,-17.6121159,12.5962973,-9.43284798,0.009033872
41,-18.156435,12.2416391,-7.3880558,0.009033872
42,-18.156435,12.2416391,-7.32417107,0.009033872
