X,Y,Z
-18.0286198,12.6049995,-4.57648659
-18.0286198,12.6049995,-4.49365044
-17.9647236,12.6049995,-4.49365044
-17.9647236,12.2416391,-8.02706337
-17.9647236,12.2416391,-7.96315193
-18.0286198,12.2416391,-7.96315193
-17.4535313,12.6049995,-10.0718555
-17.4535313,12.6049995,-10.0079441
-17.3896351,12.6049995,-10.0079441
-20.1725159,12.2416391,-7.13246346
-20.1725159,12.2416391,-7.19637537
-20.1373196,12.2539244,-7.19637537
-20.0095158,12.6049995,-8.6021595
-20.0095158,12.6049995,-8.53824806
-19.9456196,12.6049995,-8.53824806
-17.389719,12.2520218,-9.30507851
-17.389719,12.2520218,-9.24116707
-17.4537582,12.2639217,-9.24116707
-18.6035748,12.2643738,-8.98557568
-18.6035748,12.2643738,-9.04948616
-18.5442352,12.271101,-9.04948616
-19.0510273,12.2416391,-10.346241
-19.0510273,12.3274698,-10.346241
-18.9871311,12.3274698,-10.346241
-19.6232357,12.5761013,-9.24116707
-19.6232357,12.5761013,-9.17725563
-19.5562363,12.5761013,-9.17725563
-17.6438637,12.5888662,-9.43284798
-17.6438637,12.5888662,-9.36896324
-17.6121159,12.5962973,-9.36896324
-18.156435,12.2416391,-7.3880558
-18.156435,12.2416391,-7.32417107
-18.2203312,12.2416391,-7.32417107
-17.5797348,12.271101,-8.66607094
-17.5797348,12.271101,-8.6021595
-17.6458168,12.2611341,-8.6021595
-19.8154697,12.5880909,-8.6021595
-19.8154697,12.5880909,-8.53824806
-19.7532349,12.5761013,-8.53824806
-18.7857361,12.271101,-8.3465395
-18.7857361,12.271101,-8.41042423
-18.7315483,12.2647648,-8.41042423
-17.7422104,12.2502956,-8.02706337
-17.7422104,12.2502956,-7.96315193
-17.8369198,12.2416391,-7.96315193
-20.0095158,12.6049995,-7.96315193
-20.0095158,12.6049995,-7.89924002
-19.9456196,12.6049995,-7.89924002
-17.4537582,12.2639217,-8.6021595
-17.4537582,12.2639217,-8.66607094
-17.389719,12.2520218,-8.66607094
-18.3469486,12.258604,-6.74910259
-18.3469486,12.258604,-6.68519068
-18.411478,12.2614498,-6.68519068
-17.8407364,12.5761013,-8.79389477
-17.8407364,12.5761013,-8.72998333
-17.773735,12.5761013,-8.72998333
-20.1725159,12.2416391,-8.92166328
-20.1725159,12.3274698,-8.92166328
-20.1725159,12.3274698,-8.98557568
-17.4535313,12.6049995,-9.43284798
-17.4535313,12.6049995,-9.36896324
-17.3896351,12.6049995,-9.36896324
-17.9647236,12.2416391,-7.3880558
-17.9647236,12.2416391,-7.32417107
-18.0286198,12.2416391,-7.32417107
-18.4102535,12.5883722,-9.8162632
-18.4102535,12.5883722,-9.75235176
-18.350235,12.5761013,-9.75235176
-20.1725159,12.2416391,-4.95990229
-20.1725159,12.3274698,-4.95990229
-20.1725159,12.3274698,-5.02378654
-18.9876461,12.2619915,-7.70755959
-18.9876461,12.2619915,-7.77147102
-18.919735,12.271101,-7.77147102
-17.6458168,12.2611341,-7.96315193
-17.6458168,12.2611341,-8.02706337
-17.5797348,12.271101,-8.02706337
-18.5442352,12.271101,-6.11004019
-18.5442352,12.271101,-6.04615545
-18.6035748,12.2643738,-6.04615545
-18.156435,12.2416391,-6.74910259
-18.156435,12.2416391,-6.68519068
-18.2203312,12.2416391,-6.68519068
-17.6438637,12.5888672,-8.79389477
-17.6438637,12.5888672,-8.72998333
-17.6121159,12.5962973,-8.72998333
-18.028635,12.5822058,-8.15483189
-18.028635,12.5822058,-8.09094715
-17.9747353,12.5761013,-8.09094715
-17.8369198,12.2416391,-7.32417107
-17.8369198,12.2416391,-7.3880558
-17.7422104,12.2502956,-7.3880558
-18.0262604,12.7747688,-9.93344688
-17.9836502,12.7747688,-9.96281528
-17.9848862,12.8621016,-9.96395206
-19.1788197,12.2416391,-7.0685792
-19.1788197,12.2416391,-7.13246346
-19.112957,12.2583036,-7.13246346
-18.6037312,12.6049995,-9.17725563
-18.6037312,12.6049995,-9.1133709
-18.539835,12.6049995,-9.1133709
-17.4535313,12.6049995,-8.79389477
-17.4535313,12.6049995,-8.72998333
-17.3896351,12.6049995,-8.72998333
-18.0286198,12.2416391,-6.68519068
-18.0286198,12.2416391,-6.74910259
-17.9647236,12.2416391,-6.74910259
-18.2162361,12.5761013,-7.51587915
-18.2162361,12.5761013,-7.45196772
-18.1492348,12.5761013,-7.45196772
-18.3469486,12.258605,-6.11004019
-18.3469486,12.258605,-6.04615545
-18.411478,12.2614508,-6.04615545
-17.8407364,12.5761013,-8.15483189
-17.8407364,12.5761013,-8.09094715
-17.773735,12.5761013,-8.09094715
-18.7315483,12.2647734,-5.47108698
-18.7315483,12.2647734,-5.40717506
-18.7857361,12.271101,-5.40717506
-19.3705196,12.2416391,-6.42954397
-19.3705196,12.2416391,-6.49345541
-19.306612,12.2416391,-6.49345541
-18.2203312,12.2416391,-6.04615545
-18.2203312,12.2416391,-6.11004019
-18.156435,12.2416391,-6.11004019
-17.6438637,12.5888662,-8.15483189
-17.6438637,12.5888662,-8.09094715
-17.6121159,12.5962973,-8.09094715
-18.7954197,12.6049995,-8.53824806
-18.7954197,12.6049995,-8.47433662
-18.7315235,12.6049995,-8.47433662
-20.1725159,12.2416391,-8.3465395
-20.1725159,12.2416391,-8.28265572
-20.1725159,12.3274698,-8.28265572
