X,Y,Z
-0.350022972,-1.48645484,0.681886673
-0.365211099,-1.49057722,0.6553213
-0.380305856,-1.48630798,0.681915581
-0.286647528,-1.48687792,0.678866208
-0.302093029,-1.49120033,0.654272318
-0.318318278,-1.48663843,0.680836678
-0.333551198,-1.49076712,0.655196607
0.17557548,-1.61854637,0.781984627
0.207457468,-1.61860204,0.782012761
0.191665798,-1.59130597,0.785911918
-0.332493663,-1.5148865,0.754746795
-0.317054451,-1.5367676,0.771942556
-0.300615251,-1.51443672,0.754113734
-1.11137259,-1.58368802,0.582716227
-1.07959247,-1.58384144,0.582716227
-1.09509647,-1.61076236,0.586185336
-0.27086395,-1.49196374,0.652359784
-0.31739819,-1.49853873,0.732130229
-0.254895478,-1.48700643,0.679348409
-0.285617232,-1.49898875,0.732682168
-0.269499063,-1.48908043,0.705652118
-0.301338762,-1.48919392,0.706859887
0.242408723,-1.61806428,0.586416543
0.207437336,-1.61733449,0.586262524
0.223448336,-1.59012985,0.582716227
-0.319977403,-1.50205278,0.63040489
0.0775251165,-1.623716,0.780188501
0.0963236615,-1.59084582,0.785911918
0.0645429492,-1.59069252,0.785911918
-0.288307667,-1.5030719,0.629045069
-0.351503313,-1.5012598,0.631442428
-0.256681561,-1.50459015,0.626993656
-1.04781222,-1.58399475,0.582716227
-1.0633167,-1.61091614,0.586185396
0.175553814,-1.61769629,0.586403966
0.191665605,-1.58997655,0.582716227
-0.332517117,-1.5614078,0.782342076
-0.364399612,-1.56135261,0.782368898
-0.348606318,-1.58869863,0.785911918
-0.239053935,-1.49267006,0.650737226
-0.34887749,-1.53583229,0.77147913
-0.305199504,-1.52012277,0.608933389
-0.336891621,-1.51869643,0.610103965
-0.27347973,-1.52147973,0.607862711
-1.01603198,-1.58414817,0.582716227
-1.03153694,-1.6110698,0.586185515
-0.21987766,-1.50491881,0.626773238
-0.241985962,-1.52339196,0.606357038
-1.4927119,-1.58317721,0.785911918
-1.47691143,-1.61044014,0.782022178
-1.46093118,-1.58333051,0.785911918
-0.984251559,-1.58430159,0.582716227
-0.999757111,-1.61122346,0.586185575
-0.290732205,-1.54718423,0.591410875
-0.262518704,-1.55172408,0.589583695
-0.952471197,-1.58445489,0.582716227
-0.967977226,-1.61137724,0.586185694
-0.322657853,-1.54141402,0.594105899
-0.232096225,-1.55449855,0.588606477
-0.253957152,-1.49832225,0.731137097
-0.212008983,-1.52850628,0.602459371
-1.31798315,-1.61133981,0.78198427
-1.3020277,-1.58409739,0.785911918
-1.33380842,-1.58394408,0.785911918
-0.238525942,-1.48870683,0.703051865
-0.268336624,-1.51429176,0.753794253
-0.227081612,-1.48726821,0.677205145
-0.285067528,-1.58767581,0.582716227
-0.253285766,-1.58782923,0.582716227
-0.354427457,-1.54284465,0.593302667
-0.285333186,-1.53701997,0.77200073
-0.311163604,-1.56553614,0.585277438
-0.316825598,-1.58885205,0.785911918
-0.300806403,-1.56223428,0.782523036
-0.33764571,-1.56448948,0.585492313
-0.316849202,-1.58752239,0.582716227
-0.368025094,-1.56528115,0.585272968
-1.28626597,-1.61082196,0.782173991
-1.27024698,-1.58425081,0.785911918
-0.348630816,-1.58736908,0.582716227
-0.221935838,-1.49704564,0.728271723
-1.1431241,-1.58486426,0.785911918
-1.12736511,-1.6121645,0.782011509
-1.11134338,-1.58501768,0.785911918
-1.25452256,-1.61154783,0.782012343
-1.23846626,-1.58440411,0.785911918
-0.236452475,-1.51367772,0.752965868
-1.87408018,-1.5800072,0.582716227
-1.85805953,-1.60737634,0.586265206
-1.88996947,-1.60729003,0.586283624
-0.920690715,-1.58460832,0.582716227
-0.936197281,-1.6115309,0.586185753
0.139944002,-1.62865782,0.778432548
0.159885079,-1.59115255,0.785911918
-1.09423947,-1.61308539,0.781791031
-1.07956266,-1.58517098,0.785911918
-0.285044879,-1.58900535,0.785911918
-0.269057482,-1.56181264,0.782368898
-0.253286004,-1.53616428,0.771401584
-0.253264189,-1.58915877,0.785911918
-0.237174973,-1.56186795,0.782342076
-0.221483469,-1.58931208,0.785911918
-0.220575243,-1.53692889,0.771763265
